timestamp,message,logStreamName
1753419191935,"Flag --skip-version-check has been deprecated, ""skip-version-check"" is deprecated. Use ""disable-telemetry"" instead",opa-server-logs/dev-opa-server-container/0c1ca2e89a2c46d6a02b0c7fbead88c6
1753419191938,"{""addrs"":[""0.0.0.0:8181""],""diagnostic-addrs"":[],""level"":""info"",""msg"":""Initializing server."",""time"":""2025-07-25T04:53:11Z""}",opa-server-logs/dev-opa-server-container/0c1ca2e89a2c46d6a02b0c7fbead88c6
1753419191938,"{""level"":""warning"",""msg"":""OPA running with uid or gid 0. Running OPA with root privileges is not recommended."",""time"":""2025-07-25T04:53:11Z""}",opa-server-logs/dev-opa-server-container/0c1ca2e89a2c46d6a02b0c7fbead88c6
1753419201728,/usr/local/lib/python3.12/site-packages/snowflake/snowpark/session.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.,mcp-snowflake-app/dev-mcp-snowflake-app-container/2b8fca16bbaa4210a03011338af89101
1753419201728,  import pkg_resources,mcp-snowflake-app/dev-mcp-snowflake-app-container/2b8fca16bbaa4210a03011338af89101
1753419201755,"<frozen runpy>:128: RuntimeWarning: 'src.mcp_snowflake_server.main' found in sys.modules after import of package 'src.mcp_snowflake_server', but prior to execution of 'src.mcp_snowflake_server.main'; this may result in unpredictable behaviour",mcp-snowflake-app/dev-mcp-snowflake-app-container/2b8fca16bbaa4210a03011338af89101
1753419201913,"2025-07-25 04:53:21,913 - main - INFO - Successfully retrieved secret from AWS Secrets Manager: /tlx/genai/8a488489887a8d360188bdb6ed9c2a84/snowflake_user",mcp-snowflake-app/dev-mcp-snowflake-app-container/2b8fca16bbaa4210a03011338af89101
1753419201914,"2025-07-25 04:53:21,914 - main - INFO - ✅ Retrieved SNOWFLAKE_USER from AWS Secrets Manager: MCP_DEMO_USER",mcp-snowflake-app/dev-mcp-snowflake-app-container/2b8fca16bbaa4210a03011338af89101
1753419201986,"<frozen runpy>:128: RuntimeWarning: 'src.mcp_tlx_server.main' found in sys.modules after import of package 'src.mcp_tlx_server', but prior to execution of 'src.mcp_tlx_server.main'; this may result in unpredictable behaviour",mcp-server-app/dev-mcp-server-app-container/63f9d62edbe04a58afa33f948bde9fdc
1753419202073,"2025-07-25 04:53:22,073 - main - INFO - Successfully retrieved secret from AWS Secrets Manager: /tlx/genai/8a488489887a8d360188bdb6ed9c2a84/snowflake_password",mcp-snowflake-app/dev-mcp-snowflake-app-container/2b8fca16bbaa4210a03011338af89101
1753419202074,"2025-07-25 04:53:22,074 - main - INFO - ✅ Retrieved SNOWFLAKE_PASSWORD from AWS Secrets Manager: t7WcgPiYthcmn8N",mcp-snowflake-app/dev-mcp-snowflake-app-container/2b8fca16bbaa4210a03011338af89101
1753419202075,"2025-07-25 04:53:22,075 - main - INFO - 🔍 connection_args_from_env: {'account': 'aqb89107', 'role': 'GEN_AI', 'warehouse': 'TLX_GENAI_WAREHOUSE', 'database': 'HEALTH_CARE', 'schema': 'BILLING_INFO', 'user': 'MCP_DEMO_USER', 'password': 't7WcgPiYthcmn8N'}",mcp-snowflake-app/dev-mcp-snowflake-app-container/2b8fca16bbaa4210a03011338af89101
1753419202075,"2025-07-25 04:53:22,075 - main - INFO - 🔍 connection_args (CLI): {}",mcp-snowflake-app/dev-mcp-snowflake-app-container/2b8fca16bbaa4210a03011338af89101
1753419202075,"2025-07-25 04:53:22,075 - mcp_snowflake_server - INFO - Starting Snowflake MCP Server",mcp-snowflake-app/dev-mcp-snowflake-app-container/2b8fca16bbaa4210a03011338af89101
1753419202076,"2025-07-25 04:53:22,075 - mcp_snowflake_server - INFO - Allow write operations: False",mcp-snowflake-app/dev-mcp-snowflake-app-container/2b8fca16bbaa4210a03011338af89101
1753419202076,"2025-07-25 04:53:22,076 - mcp_snowflake_server - INFO - Prefetch table descriptions: False",mcp-snowflake-app/dev-mcp-snowflake-app-container/2b8fca16bbaa4210a03011338af89101
